datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-03-20,135226.36901561258,-0.007886679428260913,3244306.926276991,0.4011634374231751,1512.4129296643202,0.00014671200828426107,119715.42854029396,15510.940475318619,-0.01151222
2025-03-21,136385.3885283706,0.008681882988535037,3280508.377302068,0.2677099983428308,1527.4129296643202,0.00011092511105040594,124787.6067629758,11597.78176539478,0.0035982132
2025-03-24,135372.03751628552,-0.007318588354134524,3322770.991910843,0.309876410257716,1542.6154255915446,0.0001114671893467679,116210.14977733848,19161.887738947054,-0.009119868
2025-03-25,130041.17639779305,-0.03923047005754993,3377859.9947976926,0.40694521481382107,1562.7678796718471,0.00014886718446472467,113384.8882367956,16656.288160997457,-0.0072921515
2025-03-26,129895.79220311926,-0.0009641884066801139,3429159.10732642,0.3944836085749067,1582.7678796718471,0.0001537974398110676,114652.74306869118,15243.049134428082,-0.002566874
2025-03-27,130576.33780600545,0.00539313545885109,3479913.7582718628,0.39073360333394946,1602.7678796718471,0.0001539695756173981,115772.77248195284,14803.565324052615,0.014867187
2025-03-28,134351.24557910408,0.029062752385785602,3525866.6251650993,0.35192338570183934,1622.7678796718471,0.0001531671077321343,120724.29140787604,13626.95417122806,0.023508787
2025-03-31,134105.27479820617,-0.00168194034914895,3574200.405826813,0.35975684820320897,1642.7678796718471,0.00014886352496244098,120207.96697856623,13897.307819639944,-0.0005130172
2025-04-01,129421.59035429273,-0.03477629385519015,3631745.4364879574,0.42910340959917287,1662.7678796718471,0.0001491365647629807,113395.75926676973,16025.831087522996,-0.014976859
2025-04-02,127056.21419183436,-0.018121985335197037,3685394.667654899,0.4145307673941909,1682.7678796718471,0.00015453372150079308,111427.1185836893,15629.09560814505,-0.01297909
2025-04-03,128750.64657726848,0.01349349495685118,3737896.9366323687,0.4132207882268538,1702.7678796718471,0.00015741064006364325,113468.09534376324,15282.551233505232,0.008482218
2025-04-07,130301.22927110484,0.012198639273580583,3788336.1132754674,0.3917586278902927,1722.7678796718471,0.00015533902571896748,115559.61689064269,14741.612380462147,0.007843018
2025-04-08,131195.79640309658,0.007018868026861792,3835001.05049386,0.3581312124178171,1742.7678796718471,0.00015349049361911994,117422.89751355776,13772.898889538817,0.001282692
2025-04-09,128509.85728336335,-0.020320308979581807,3887021.753516019,0.3965119649285568,1762.7678796718471,0.00015244390863370638,113752.10991543127,14757.747367932077,-0.011722088
2025-04-10,129834.8237294182,0.010465862109621756,3938944.1082632504,0.40403402388614557,1782.7678796718471,0.00015563008490391625,114878.06611172835,14956.757617689853,0.0053589344
2025-04-11,133655.0037428696,0.029577426942516624,3988627.464142983,0.3826658707780497,1802.7678796718471,0.0001540418774063338,119156.2027536523,14498.8009892173,0.023866415
2025-04-14,132972.89666580857,-0.004953851771496785,4040585.2787252753,0.3887457493342397,1822.7678796718471,0.00014963899173185265,118066.30949669424,14906.587169114313,-0.0057904124
